"blkType","DistCond","distr_cond","participant","rt_type","rt"
"Before change","Freq. dist.","unequal","E1_03_AH","ftf_RT",632.082529459028
"Before change","Freq. dist.","unequal","E1_05_SX","ftf_RT",723.822568088642
"Before change","Freq. dist.","unequal","E1_06_MB","ftf_RT",935.209972305694
"Before change","Freq. dist.","unequal","E1_07_HS","ftf_RT",644.690134638302
"Before change","Freq. dist.","unequal","E1_08_UA","ftf_RT",670.95091894656
"Before change","Freq. dist.","unequal","E1_09_BK","ftf_RT",449.294663938467
"Before change","Freq. dist.","unequal","E1_10_ZK","ftf_RT",553.093444770934
"Before change","Freq. dist.","unequal","E1_11_MS","ftf_RT",688.736386472871
"Before change","Freq. dist.","unequal","E1_12_JM","ftf_RT",505.965260923632
"Before change","Freq. dist.","unequal","E1_13_GV","ftf_RT",817.41179190741
"Before change","Freq. dist.","unequal","E1_14_VB","ftf_RT",516.267702868228
"Before change","Freq. dist.","unequal","E1_15_SS","ftf_RT",540.306655199167
"Before change","Freq. dist.","unequal","E1_16_THL","ftf_RT",843.658849797712
"Before change","Freq. dist.","unequal","E1_17_JSM","ftf_RT",628.467964149896
"Before change","Freq. dist.","unequal","E1_18_YP","ftf_RT",747.055867379349
"Before change","Freq. dist.","unequal","E1_19_AM","ftf_RT",817.48839227455
"Before change","Freq. dist.","unequal","E1_20_MK","ftf_RT",484.288621699208
"Before change","Freq. dist.","unequal","E1_21_RNB","ftf_RT",808.85063488287
"Before change","Freq. dist.","unequal","E1_22_LIU","ftf_RT",656.129929638183
"Before change","Freq. dist.","unequal","E1_23_JX","ftf_RT",714.118254694388
"Before change","Freq. dist.","unequal","E1_24_RMS","ftf_RT",747.740769795291
"Before change","Freq. dist.","unequal","E1_XF","ftf_RT",584.391015366
"Before change","Rare dist.","equal","E2_01_JM","ftf_RT",480.93643431375
"Before change","Rare dist.","equal","E2_02_YN","ftf_RT",536.575937870046
"Before change","Rare dist.","equal","E2_03_XY","ftf_RT",890.907184053706
